"label"	"spaceAgencyName"	"launchPlaceName"	"latitude"	"longitude"	"astroName"	"birthPlaceName"
"STS-53"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Robert D. Cabana"	"Minneapolis, Minnesota"
"STS-64"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Carl J. Meade"	"Illinois"
"STS-82"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Scott J. Horowitz"	"Pennsylvania"
"STS-51-L"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Christa McAuliffe"	"Boston, Massachusetts"
"STS-40"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Sidney M. Gutierrez"	"Albuquerque, New Mexico"
"STS-55"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jerry L. Ross"	"Crown Point, Indiana"
"WorldView-2"	"DigitalGlobe"	"Vandenberg Air Force Base"				
"Skylab Rescue"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Vance D. Brand"	"Longmont, Colorado"
"Rasad 1"	"Iranian Space Agency"	"Semnan Province"				
"Kosmos 2397"	"VKS"	"Baikonur Cosmodrome Site 81"				
"Progress M1-10"	"Roskosmos"	"Gagarin's Start"				
"Nimiq 5"	"Telesat Canada"	"Baikonur Cosmodrome"				
"STS-53"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"James S. Voss"	"Cordova, Alabama"
"Progress M-04M"	"Roskosmos"	"Baikonur Cosmodrome"				
"Venera 9"	"Lavochkin"	"Baikonur Cosmodrome Site 81"				
"Progress MS-12"	"Roscosmos State Corporation"	"Gagarin's Start"				
"STS-120"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Douglas H. Wheelock"	"Binghamton, New York"
"Sirius FM-3"	"Sirius Satellite Radio"	"Baikonur Cosmodrome Site 81"				
"UGATUSAT"	"Ufa State Aviation Technical University"	"Baikonur Cosmodrome"				
"USA-64"	"US Air Force"	"Cape Canaveral Air Force Station"				
"STS-41-C"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Terry Hart"	"Pittsburgh, Pennsylvania"
"STS-41-C"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Robert Crippen"	"Beaumont, Texas"
"Fajr (satellite)"	"Iranian Space Agency"	"Semnan (city)"				
"Exploration Mission 1"	"NASA"	"Kennedy Space Center Launch Complex 39"				
"PSLV-C3"	"ISRO"	"Satish Dhawan Space Centre"				
"USA-63"	"US Air Force"	"Cape Canaveral Air Force Station"				
"MightySat-2.1"	"AFRL"	"Vandenberg Air Force Base"				
"Pioneer P-3"	"NASA"	"Cape Canaveral Air Force Station"				
"STS-130"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Nicholas Patrick"	"England"
"STS-96"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Julie Payette"	"Montreal"
"STS-47"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Curtis Brown"	"Elizabethtown, North Carolina"
"Astra 1K"	"SES Astra"	"Baikonur Cosmodrome Site 81"				
"Cartosat-2"	"Indian Space Research Organisation"	"Satish Dhawan Space Centre"				
"Himawari 8"	"Japan Meteorological Agency"	"Tanegashima Space Center"				
"STS-129"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Michael Foreman (astronaut)"	"Columbus, Ohio"
"STS-72"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Koichi Wakata"	"Ōmiya, Saitama"
"Ocean Surface Topography Mission"	"National Oceanic and Atmospheric Administration"	"Vandenberg Air Force Base"				
"Intelsat 8"	"Intelsat"	"Baikonur Cosmodrome"				
"STS-41-G"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Kathryn D. Sullivan"	"New Jersey"
"Galaxy 19"	"Intelsat"	"Odyssey (launch platform)"				
"Ares I-X"	"NASA"	"Kennedy Space Center Launch Complex 39"				
"STS-87"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Takao Doi"	"Tokyo"
"Discoverer 34"	"United States Air Force"	"Vandenberg Air Force Base"				
"Sentinel-1A"	"European Space Agency"	"Ensemble de Lancement Soyouz"				
"INSAT-2E"	"Indian Space Research Organisation"	"ELA-2"				
"TDRS-10"	"NASA"	"Cape Canaveral Air Force Station"				
"STS-95"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Stephen Robinson"	"Sacramento, California"
"Yamal 201"	"Gazprom Space Systems"	"Baikonur Cosmodrome Site 81"				
"USA-80"	"US Air Force"	"Cape Canaveral Air Force Station"				
"Ranger 6"	"NASA"	"Cape Canaveral Air Force Station"				
"EchoStar XIV"	"EchoStar"	"Baikonur Cosmodrome"				
"Progress M-66"	"Roskosmos"	"Baikonur Cosmodrome"				
"STS-39"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Gregory J. Harbaugh"	"Cleveland"
"STS-93"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Catherine Coleman"	"Charleston, South Carolina"
"Mars Science Laboratory"	"NASA"	"Cape Canaveral Air Force Station"				
"ATS-2"	"NASA"	"Cape Canaveral Air Force Station"				
"AMC-5"	"GE Americom"	"ELA-2"				
"ESSA-1"	"Environmental Science Services Administration"	"Cape Canaveral Air Force Station"				
"STS-72"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Daniel T. Barry"	"Norwalk, Connecticut"
"STS-81"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Michael A. Baker"	"Memphis, Tennessee"
"TAOS"	"AFRL"	"Vandenberg AFB"				
"STS-74"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jerry L. Ross"	"Crown Point, Indiana"
"USA-175"	"US Air Force"	"Cape Canaveral Air Force Station"				
"Maritime Monitoring and Messaging Microsatellite"	"Canadian Space Agency"	"Satish Dhawan Space Centre"				
"SES-2"	"SES S.A."	"Guiana Space Centre"				
"STS-124"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Kenneth Ham"	"Plainfield, New Jersey"
"TanDEM-X"	"German Aerospace Center"	"Baikonur Cosmodrome Site 109"				
"Inmarsat-4 F3"	"Inmarsat"	"Baikonur Cosmodrome"				
"JCSAT-5A"	"SKY Perfect JSAT Group"	"Odyssey (launch platform)"				
"IRNSS-1D"	"ISRO"	"Satish Dhawan Space Centre Second Launch Pad"				
"Apollo–Soyuz Test Project"	"NASA"	"Kazakh Soviet Socialist Republic"				
"Soyuz TMA-02M"	"Roskosmos"	"Baikonur Cosmodrome Site 1"				
"STS-30"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"David M. Walker (astronaut)"	"Columbus, Georgia"
"PSLV-C1"	"ISRO"	"Satish Dhawan Space Centre"				
"Vermont Lunar CubeSat"	"Vermont Technical College"	"Mid-Atlantic Regional Spaceport Launch Pad 0"				
"Ekspress AM7"	"Russian Satellite Communications Company"	"Baikonur Cosmodrome"				
"DSN-2"	"SKY Perfect JSAT Group"	"Yoshinobu Launch Complex"				
"AMC-8"	"GE Americom"	"Guiana Space Centre"				
"STS-51"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Daniel W. Bursch"	"Bristol, Pennsylvania"
"USA-91"	"US Air Force"	"Cape Canaveral Air Force Station"				
"MoonRise"	"Jet Propulsion Laboratory"	"Cape Canaveral Air Force Station"				
"Ranger 2"	"NASA"	"Cape Canaveral Air Force Station"				
"Iridium 7"	"Iridium Satellite LLC"	"Vandenberg Air Force Base"				
"STS-29"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"James P. Bagian"	"Philadelphia"
"Venera 4"	"Lavochkin"	"Baikonur Cosmodrome Site 1"				
"Discoverer 28"	"United States Air Force"	"Vandenberg Air Force Base"				
"Progress M-SO1"	"Roskosmos"	"Gagarin's Start"				
"Ofek-10"	"Ministry of Defense (Israel)"	"Palmachim Airbase"				
