"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"ISRO Pad Abort Test","ISRO","Satish Dhawan Space Centre",",",,
"STS-42","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Roberta Bondar","Sault Ste. Marie, Ontario"
"Luch 5V","Roskosmos","Baikonur Cosmodrome Site 81",",",,
"STS-47","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mamoru Mohri","Japan"
"GEOS-3","NASA","Vandenberg Air Force Base",",",,
"USA-151","US Air Force","Cape Canaveral Air Force Station",",",,
"Kosmos 2449","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STS-103","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jean-François Clervoy","Longeville-lès-Metz"
"M-Cubed","University of Michigan","Vandenberg Air Force Base",",",,
"Brasilsat B2","Embratel","ELA-2",",",,
"STS-90","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jay C. Buckey","New York City"
"Progress MS-09","Roscosmos State Corporation","Gagarin's Start",",",,
"CAPE-1","University of Louisiana at Lafayette","Baikonur Cosmodrome Site 109",",",,
"Technology Experiment Satellite","ISRO","Satish Dhawan Space Centre",",",,
"Soyuz 3","Soviet space program","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Georgy Beregovoy","Poltava Oblast"
"STS-44","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Thomas J. Hennen","Albany, Georgia"
"Jason-3","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"ROSAT","German Aerospace Center","Cape Canaveral Air Force Station",",",,
"MESSENGER","National Aeronautics and Space Administration","Cape Canaveral Air Force Station",",",,
"WorldView-3","DigitalGlobe","Vandenberg Air Force Base",",",,
"Progress M1-4","Roskosmos","Gagarin's Start",",",,
"STS-100","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John L. Phillips","Fort Belvoir, Virginia"
"SpaceShipOne Flight 17P","Scaled Composites","Mojave Air and Space Port","35.05944442749023,-118.1516647338867","Brian Binnie","West Lafayette, Indiana"
"Zond 3MV-1 No.2","OKB-1","Gagarin's Start",",",,
"Trailblazer (satellite)","Missile Defense Agency","Omelek Island",",",,
"STS-76","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard A. Searfoss","Michigan"
"STS-71","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bonnie J. Dunbar","Sunnyside, Washington"
"Cygnus CRS OA-10E","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Alexander (satellite)","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Eutelsat 21B","Eutelsat","Guiana Space Centre",",",,
"STS-75","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Andrew M. Allen","Philadelphia"
"Skylab Rescue","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Don L. Lind","Midvale, Utah"
"ESRO 2B","ESRO","Vandenberg Air Force Base",",",,
