"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"Apollo 8","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Frank Borman","Gary, Indiana"
"STS-111","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Philippe Perrin","Meknes"
"Ekspress AM7","Russian Satellite Communications Company","Baikonur Cosmodrome",",",,
"STS-117","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Patrick G. Forrester","El Paso, Texas"
"STS-53","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David M. Walker (astronaut)","Columbus, Georgia"
"STS-97","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Marc Garneau","Canada"
"Astra 2E","SES S.A.","Baikonur Cosmodrome",",",,
"Explorer 17","NASA","Cape Canaveral Air Force Station",",",,
"Soyuz TMA-08M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Alexander Misurkin","Russia"
"STS-62","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Pierre J. Thuot","Groton, Connecticut"
"Progress MS-11","Roscosmos State Corporation","Gagarin's Start",",",,
"Titan Mare Explorer","NASA","Cape Canaveral Air Force Station",",",,
"Apollo 17","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Harrison Schmitt","New Mexico"
"STS-2","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard H. Truly","Fayette, Mississippi"
"JCSAT-15","SKY Perfect JSAT Group","Guiana Space Centre",",",,
"LitSat-1","Kaunas University of Technology","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Soyuz TMA-13M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Maksim Surayev","Soviet Union"
"EchoStar XV","EchoStar","Baikonur Cosmodrome",",",,
"STS-127","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David Wolf (astronaut)","Indianapolis"
"Progress M-45","Roskosmos","Gagarin's Start",",",,
"Kosmos 2456","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STS-39","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald R. McMonagle","Flint, Michigan"
"UK-DMC 2","UK Space Agency","Baikonur Cosmodrome Site 109",",",,
"STS-50","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Eugene H. Trinh","Vietnam"
"Cygnus CRS OA-8E","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Chandrayaan-2","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"Progress M-67","Roskosmos","Baikonur Cosmodrome",",",,
"Nilesat 201","Nilesat","Guiana Space Centre",",",,
"USA-204","US Air Force","Cape Canaveral Air Force Station",",",,
"TechSat-21","AFRL","Cape Canaveral Air Force Station",",",,
"Progress M-19M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-55","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jerry L. Ross","Crown Point, Indiana"
"Progress M-13M","Roskosmos","Gagarin's Start",",",,
"Kosmos 2397","VKS","Baikonur Cosmodrome Site 81",",",,
"STS-5","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Joseph P. Allen","Crawfordsville, Indiana"
"Dual segmented Langmuir probe","ESA","Plesetsk Cosmodrome",",",,
"USA-35","US Air Force","Cape Canaveral Air Force Station",",",,
"Vostok 3","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"STS-67","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William G. Gregory","New York City"
"ZACube-1","Cape Peninsula University of Technology","Dombarovsky (air base)",",",,
"STS-127","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Douglas G. Hurley","New York (state)"
"Soyuz TMA-14M","Roskosmos","Kazakhstan","51.16666793823242,71.43333435058594","Yelena Serova","Ussuriysk"
"Solar Probe Plus","NASA","Cape Canaveral Air Force Station",",",,
"OSO 7","NASA","Cape Canaveral Air Force Station",",",,
"Delfi-C3","Delft University of Technology","Satish Dhawan Space Centre Second Launch Pad",",",,
"AS-202","NASA","Cape Canaveral Air Force Station",",",,
"Venus Express","European Space Agency","Baikonur Cosmodrome",",",,
"USA-1 (satellite)","US Air Force","Vandenberg Air Force Base",",",,
"Cygnus CRS OA-6","NASA","Cape Canaveral Air Force Station",",",,
"STS-96","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen Ochoa","California"
"STS-128","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kevin A. Ford","Portland, Indiana"
"STS-118","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard Mastracchio","Waterbury, Connecticut"
"Gemini 8","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","David Scott","San Antonio"
"Nimiq 5","Telesat Canada","Baikonur Cosmodrome",",",,
"Orbiting Frog Otolith","NASA","Wallops Flight Facility Launch Area 3",",",,
"STS-70","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald A. Thomas","Cleveland"
"Kosmos 2404","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"OPS 5114","US Air Force","Vandenberg Air Force Base",",",,
"Sunjammer (spacecraft)","NASA","Cape Canaveral Air Force Station",",",,
"Explorer 49","NASA","Cape Canaveral Air Force Station",",",,
"Nahuel 1A","AR-SAT","ELA-2",",",,
"Chang'e 6","China National Space Administration","Wenchang Satellite Launch Center",",",,
"Discoverer 25","United States Air Force","Vandenberg Air Force Base",",",,
"STS-87","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Leonid Kadeniuk","Chernivtsi Oblast"
"Yamal 204","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"Progress M-60","Roskosmos","Gagarin's Start",",",,
"Ulysses (spacecraft)","European Space Agency","Kennedy Space Center Launch Complex 39",",",,
"Astra 1A","SES S.A.","ELA-2",",",,
"Polar (satellite)","NASA","Vandenberg Air Force Base",",",,
"AMC-14","SES Americom","Baikonur Cosmodrome",",",,
"OPS 5117","US Air Force","Vandenberg Air Force Base",",",,
"TDRS-6","NASA","Kennedy Space Center Launch Complex 39",",",,
"Soyuz MS-02","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Sergey Nikolayevich Ryzhikov","Bugulma"
"Kosmos 2175","VKS","Plesetsk Cosmodrome",",",,
"VRSS-1","Bolivarian Agency for Space Activities","Jiuquan Satellite Launch Center",",",,
"STS-89","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terrence W. Wilcutt","Russellville, Kentucky"
"AsiaSat 8","AsiaSat","Cape Canaveral Air Force Station",",",,
"STS-66","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald R. McMonagle","Flint, Michigan"
"Lem (satellite)","Space Research Centre","Dombarovsky (air base)",",",,
"GSAT-19E","INSAT","Satish Dhawan Space Centre Second Launch Pad",",",,
"Soyuz TMA-20","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-96","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Julie Payette","Montreal"
"USA-166","US Air Force","Cape Canaveral Air Force Station",",",,
"Intelsat 3R","Intelsat","ELA-2",",",,
"STS-127","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Julie Payette","Montreal"
"Venera 16","Soviet Academy of Sciences","Baikonur Cosmodrome",",",,
"Soyuz TMA-3","Rosaviakosmos","Baikonur Cosmodrome Site 1",",",,
"STS-77","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel W. Bursch","Bristol, Pennsylvania"
"Intelsat 22","Intelsat","Baikonur Cosmodrome",",",,
"STS-84","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Yelena Kondakova","Russian SFSR"
"STS-68","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael A. Baker","Memphis, Tennessee"
"Quantum Experiments at Space Scale","Chinese Academy of Science","Jiuquan Satellite Launch Center",",",,
"STS-40","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sidney M. Gutierrez","Albuquerque, New Mexico"
"Kosmos 2413","Russian Space Forces","Baikonur Cosmodrome",",",,
"Ekspress MD1","Russian Satellite Communications Company","Baikonur Cosmodrome",",",,
"STS-54","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Susan Helms","Charlotte, North Carolina"
"Kosmos 2474","Russian Space Forces","Plesetsk Cosmodrome",",",,
"USA-87","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-97","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael J. Bloomfield","Flint, Michigan"
"SELENE","JAXA","Tanegashima Space Center",",",,
"Ranger 5","NASA","Cape Canaveral Air Force Station",",",,
"JCSAT-11","SKY Perfect JSAT Group","Baikonur Cosmodrome",",",,
"Progress M-51","Roskosmos","Gagarin's Start",",",,
"Eutelsat 31A","Eutelsat","Guiana Space Centre",",",,
"Progress M-03M","Roskosmos","Gagarin's Start",",",,
"STS-74","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kenneth D. Cameron","Cleveland"
"STS-40","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James P. Bagian","Philadelphia"
"AMC-4","GE Americom","ELA-2",",",,
"STS-90","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kathryn P. Hire","Mobile, Alabama"
"Discoverer 26","United States Air Force","Vandenberg Air Force Base",",",,
"TIROS-N","NOAA","Vandenberg Air Force Base",",",,
"STS-61-F","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David C. Hilmers","Clinton, Iowa"
"STS-7","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sally Ride","Los Angeles"
"STS-57","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Nancy J. Currie","Wilmington, Delaware"
"WIND (spacecraft)","NASA","Cape Canaveral Air Force Station",",",,
"OPS 0855","US Air Force","Cape Canaveral Air Force Station Launch Complex 40",",",,
"INSAT-3A","Indian Space Research Organisation","Guiana Space Centre",",",,
"Solrad 8","NASA","Wallops Flight Facility Launch Area 3",",",,
"SpaceX CRS-16","SpaceX","SLC-40",",",,
"Pioneer 5","NASA","Cape Canaveral Air Force Station",",",,
"USA-38","US Air Force","Cape Canaveral Air Force Station",",",,
"Gemini 9A","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Eugene Cernan","Illinois"
"STS-131","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard Mastracchio","Waterbury, Connecticut"
"AS-201","NASA","Cape Canaveral Air Force Station",",",,
"GISAT-1","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"STS-116","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark L. Polansky","Paterson, New Jersey"
"Kounotori 8","JAXA","Tanegashima Space Center",",",,
"NanoSail-D","NASA","Omelek Island",",",,
"Astra 2D","SES S.A.","Guiana Space Centre",",",,
"STS-129","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert Satcher","Hampton, Virginia"
"SpaceX CRS-17","SpaceX","SLC-40",",",,
"Soil Moisture Active Passive","NASA","Vandenberg Air Force Base",",",,
"SpaceX COTS Demo Flight 1","NASA","Cape Canaveral Air Force Station",",",,
"CBERS-2","China National Space Administration","Taiyuan Satellite Launch Center",",",,
"FTV-2203","US Air Force","Point Arguello",",",,
"Progress M-11M","Roskosmos","Gagarin's Start",",",,
"Gemini 5","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Pete Conrad","Philadelphia"
"ARSAT-3","ARSAT","Guiana Space Centre",",",,
"Kosmos 379","Soviet Union","Baikonur Cosmodrome",",",,
"Intelsat 24","Intelsat","ELA-2",",",,
"Kosmos 2395","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STS-42","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Norman Thagard","Florida"
"Discoverer 30","United States Air Force","Vandenberg Air Force Base",",",,
"Interstellar Boundary Explorer","NASA","Bucholz Army Airfield",",",,
"Progress M-50","Roskosmos","Gagarin's Start",",",,
"Lunar Orbiter 3","NASA","Cape Canaveral Air Force Station",",",,
"Mariner 3","Jet Propulsion Laboratory","Cape Canaveral Air Force Station",",",,
"Sputnik 41","Rosaviakosmos","Gagarin's Start",",",,
"Yamal-402","Gazprom Space Systems","Baikonur Cosmodrome",",",,
"Bell (satellite)","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"STS-78","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kevin R. Kregel","Amityville, New York"
"UniSat-6","GAUSS Srl","Dombarovsky (air base)",",",,
"Raiko","Wakayama University","Tanegashima Space Center",",",,
"Luna 4","Soviet Union","Baikonur Cosmodrome Site 1",",",,
"Skylab Rescue","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Vance D. Brand","Longmont, Colorado"
"Progress M-57","Roskosmos","Gagarin's Start",",",,
"Kosmos 2477","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STS-98","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mark L. Polansky","Paterson, New Jersey"
"High Energy Transient Explorer","NASA","Bucholz Army Airfield",",",,
"Ekspress AT1","Russian Satellite Communications Company","Baikonur Cosmodrome Site 81",",",,
"STS-108","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dominic L. Pudwill Gorie","Lake Charles, Louisiana"
"USA-94","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-124","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Akihiko Hoshide","Japan"
"Energia-100","Rostelecom","Vostochny Cosmodrome",",",,
"Apollo 9","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James McDivitt","Illinois"
"Intelsat III F-3","Intelsat","Cape Canaveral Air Force Station",",",,
"Discoverer 16","United States Air Force","Vandenberg Air Force Base",",",,
"STS-118","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Barbara Morgan","Fresno, California"
"EgyptSat 2","National Authority for Remote Sensing and Space Sciences","Baikonur Cosmodrome",",",,
"Small Astronomy Satellite 2","NASA","Broglio Space Centre",",",,
"STS-61-A","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Reinhard Furrer","Austria"
"STS-86","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Wendy B. Lawrence","Jacksonville, Florida"
"INSAT-4E","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"SDS-1","JAXA","Tanegashima Space Center",",",,
"Eutelsat 33E","Eutelsat","Guiana Space Centre",",",,
"BLITS","Roskosmos","Baikonur Cosmodrome",",",,
"SkyFire (spacecraft)","Lockheed Martin Space Systems","Kennedy Space Center Launch Complex 39",",",,
"Discoverer 19","United States Air Force","Vandenberg Air Force Base",",",,
"Jules Verne ATV","European Space Agency","Guiana Space Centre",",",,
"Soyuz TMA-04M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Apollo 8","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William Anders","Hong Kong"
"Gaia (spacecraft)","European Space Agency","Ensemble de Lancement Soyouz",",",,
"LARES (satellite)","Italian Space Agency","Guiana Space Centre",",",,
"Kosmos 2229","Institute of Biomedical Problems","Plesetsk Cosmodrome",",",,
"SBS 6 (satellite)","Intelsat","ELA-2",",",,
"Astra 5B","SES S.A.","Guiana Space Centre",",",,
"AsiaSat 6","AsiaSat","Cape Canaveral Air Force Station",",",,
"STS-26","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David C. Hilmers","Clinton, Iowa"
"IRNSS-1F","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"STS-47","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mae Jemison","Decatur, Alabama"
"Ariel 2","Science and Engineering Research Council","Wallops Flight Facility Launch Area 3",",",,
"Soyuz TMA-15","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"PSLV-C5","ISRO","Satish Dhawan Space Centre",",",,
"Arabsat-1B","Arab Satellite Communications Organization","Kennedy Space Center Launch Complex 39",",",,
"PSLV-D1","ISRO","Satish Dhawan Space Centre",",",,
"CHEOPS","Swiss Space Office","Guiana Space Centre",",",,
"STS-50","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen S. Baker","Fayetteville, North Carolina"
"CUTE-1.7 + APD","Tokyo Institute of Technology","Uchinoura Space Center",",",,
"STS-38","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles D. Gemar","Yankton, South Dakota"
"STS-58","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John E. Blaha","San Antonio, Texas"
"SpaceX CRS-1","NASA","Cape Canaveral Air Force Station",",",,
"PAS-22","Hughes Space and Communications","Baikonur Cosmodrome Site 81",",",,
"Skylab 2","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Pete Conrad","Philadelphia"
"MEASAT-3a","MEASAT Satellite Systems","Baikonur Cosmodrome Site 45",",",,
"STS-6","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald H. Peterson","Winona, Mississippi"
"Skylab 4","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Edward Gibson","Buffalo, New York"
"STS-40","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bryan D. O'Connor","Orange, California"
"SpaceX CRS-2","NASA","Cape Canaveral Air Force Station",",",,
"Sentinel-2A","European Space Agency","Guiana Space Centre",",",,
"USA-10","US Air Force","Vandenberg Air Force Base",",",,
"STS-132","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael T. Good","Parma, Ohio"
"Venera 11","Soviet Academy of Sciences","Baikonur Cosmodrome Site 81",",",,
"PROBA","ESA","Satish Dhawan Space Centre",",",,
"USA-92","US Air Force","Cape Canaveral Air Force Station",",",,
"Kedr","RKK Energia","Gagarin's Start",",",,
"Soil Moisture and Ocean Salinity","ESA","Plesetsk Cosmodrome",",",,
"STS-33","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Frederick D. Gregory","Washington, D.C."
"STS-30","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David M. Walker (astronaut)","Columbus, Georgia"
"Progress M-MIM2","Roskosmos","Gagarin's Start",",",,
"STS-104","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael L. Gernhardt","Mansfield, Ohio"
"New Horizons","NASA","Cape Canaveral Air Force Station",",",,
"STS-67","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Grunsfeld","Chicago"
"STS-129","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles O. Hobaugh","Bar Harbor, Maine"
"DLR-Tubsat","Technical University of Berlin","Sriharikota Launching Range",",",,
"STS-116","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William Oefelein","Fort Belvoir, Virginia"
"Soyuz TMA-12","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-107","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kalpana Chawla","Haryana"
"USA-84","US Air Force","Cape Canaveral Air Force Station",",",,
"Progress MS-08","Roscosmos State Corporation","Gagarin's Start",",",,
"Smart Lander for Investigating Moon","JAXA","Uchinoura Space Center",",",,
"Progress M-59","Roskosmos","Gagarin's Start",",",,
"Ofek-7","Ministry of Defense (Israel)","Palmachim Airbase",",",,
"Apollo 10","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Thomas P. Stafford","Oklahoma"
"STS-67","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephen S. Oswald","Seattle, Washington"
"ATS-6","NASA","Cape Canaveral Air Force Station Launch Complex 40",",",,
"STSAT-2C","Korea Aerospace Research Institute","Naro Space Center",",",,
"TDRS-9","NASA","Cape Canaveral Air Force Station",",",,
"USA-192","US Air Force","Cape Canaveral Air Force Station",",",,
"ICESat","NASA","Vandenberg Air Force Base",",",,
"Cygnus CRS Orb-1","Orbital Sciences Corporation","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"STS-43","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James C. Adamson","Warsaw, New York"
"Kosmos 2476","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"SES-3","SES S.A.","Baikonur Cosmodrome",",",,
"Foton-M No.4","Roskosmos","Baikonur Cosmodrome",",",,
"STS-110","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen Ochoa","California"
"Gemini 7","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Frank Borman","Gary, Indiana"
"STS-39","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory J. Harbaugh","Cleveland"
"Kosmos 2481","Russian Aerospace Defence Forces","Plesetsk Cosmodrome",",",,
"Pegasus 2","NASA","Cape Canaveral Air Force Station",",",,
"STS-65","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert D. Cabana","Minneapolis, Minnesota"
"STS-51-G","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Fabian","Baytown, Texas"
"STARS-II","Kagawa University","Tanegashima Space Center",",",,
"USA-202","National Reconnaissance Office","Cape Canaveral Air Force Station",",",,
"Kosmos 212","OKB-1","Baikonur Cosmodrome",",",,
"STS-51-L","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael J. Smith (astronaut)","Beaufort, North Carolina"
"Progress M1-7","Roskosmos","Gagarin's Start",",",,
"STS-110","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jerry L. Ross","Crown Point, Indiana"
"STS-65","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Carl E. Walz","Cleveland"
"Pad Abort Test 2","NASA","White Sands Missile Range",",",,
"STS-74","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jerry L. Ross","Crown Point, Indiana"
"JCSAT-3","Intelsat","Cape Canaveral Air Force Station",",",,
"STS-132","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Garrett Reisman","Morristown, New Jersey"
"Lunar Orbiter 4","NASA","Cape Canaveral Air Force Station",",",,
"Meridian 1","VKS","Plesetsk Cosmodrome",",",,
"SRMSAT","SRM University","Satish Dhawan Space Centre",",",,
"Luch 5A","Roskosmos","Baikonur Cosmodrome Site 81",",",,
"Apollo 15","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Alfred Worden","Jackson, Michigan"
"Ariel 3","NASA","Vandenberg Air Force Base",",",,
"STS-134","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory Chamitoff","Montreal"
"Lewis (satellite)","NASA","Vandenberg Air Force Base",",",,
"GSAT-9","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"STS-93","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Eileen Collins","Elmira, New York"
"STS-32","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","G. David Low","Cleveland, Ohio"
"FTV-1126","United States Air Force","Vandenberg Air Force Base",",",,
"STS-85","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bjarni Tryggvason","Iceland"
"STS-75","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jeffrey A. Hoffman","Brooklyn"
"Soyuz TMA-6","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Exploration Flight Test 1","NASA","Cape Canaveral Air Force Station",",",,
"Global Precipitation Measurement","NASA","Tanegashima Space Center",",",,
"Galaxy 1","Hughes Communications","Cape Canaveral Air Force Station",",",,
"STS-58","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Martin J. Fettman","Brooklyn"
"Vostok 1","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"Mariner 5","Jet Propulsion Laboratory","Cape Canaveral Air Force Station",",",,
"Apollo 5","NASA","Cape Canaveral Air Force Station",",",,
"STS-123","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dominic L. Pudwill Gorie","Lake Charles, Louisiana"
"NEE-02 Krysaor","Ecuadorian Civilian Space Agency","Dombarovsky (air base)",",",,
"Kosmos 2209","VKS","Baikonur Cosmodrome Site 81",",",,
"Suzaku (satellite)","Institute of Space and Astronautical Science","Uchinoura Space Center",",",,
"STS-132","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dominic A. Antonelli","Detroit"
"STS-78","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terence T. Henricks","Bryan, Ohio"
"Inmarsat-4A F4","Inmarsat","Guiana Space Centre",",",,
"STS-128","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Christer Fuglesang","Stockholm"
"Sirius FM-3","Sirius Satellite Radio","Baikonur Cosmodrome Site 81",",",,
"Meridian 4","Russian Space Forces","Plesetsk Cosmodrome",",",,
"Vostok 6","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"Skynet 5B","Paradigm Secure Communications","Guiana Space Centre",",",,
"STS-45","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael Foale","England"
"Cartosat-2C","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
"STS-116","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Nicholas Patrick","England"
"STS-130","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kathryn P. Hire","Mobile, Alabama"
"ATS-1","NASA","Cape Canaveral Air Force Station",",",,
"STS-125","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Andrew J. Feustel","Lancaster, Pennsylvania"
"Kwangmyŏngsŏng-4","National Aerospace Development Administration","Sohae Satellite Launching Station",",",,
"Luna 21","Soviet Union","Baikonur Cosmodrome",",",,
"USA-230","United States Air Force","Cape Canaveral Air Force Station",",",,
"USA-212","United States Air Force","Cape Canaveral Air Force Station",",",,
"Envisat","European Space Agency","Guiana Space Centre",",",,
"STS-132","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Piers Sellers","Sussex"
"STS-51-D","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jeffrey A. Hoffman","Brooklyn"
"STS-114","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Andy Thomas","South Australia"
"Soyuz TMA-03M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
